Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
TS15.concat.R1			42.915231005758	48.0	151.0	18.181818181818183	53750237.0
TS15.concat.R2			42.323579508967434	48.0	151.0	27.27272727272727	53750237.0
TS15_subset	93.108661898455	4047157					
TS16	93.17120395071002	64101588	44.63917926723985	48.0	144.62895314182973	18.181818181818183	59686987.0
TS16.concat.R1			45.13713329073842	48.0	151.0	18.181818181818183	59705523.0
TS16.concat.R2			44.814066875079696	48.0	151.0	27.27272727272727	59705523.0
TS16_subset	93.16535530899598	5129091					
TS17	93.54019659545773	54098505	42.692671597571675	48.0	145.29271560566352	9.090909090909092	49561430.0
TS17.concat.R1			42.84784091709594	48.0	151.0	18.181818181818183	49575576.0
TS17.concat.R2			42.22076266112759	48.0	151.0	27.27272727272727	49575576.0
TS17_subset	93.54710527342543	6497549					
TS18	92.71078802432518	59579137	43.58731532515937	48.0	142.3209168695673	9.090909090909092	55826174.0
TS18.concat.R1			43.798784993088255	48.0	151.0	9.090909090909092	55840235.0
TS18.concat.R2			44.143376799519594	48.0	151.0	27.27272727272727	55840235.0
TS18_subset	92.70993378555914	5953844					
TS19	93.11986026732114	59717122	44.97511620869466	49.0	144.02994086282155	9.090909090909092	55298039.0
TS19.concat.R1			45.17204350491391	49.0	151.0	18.181818181818183	55316465.0
TS19.concat.R2			45.34141986805116	49.0	151.0	27.27272727272727	55316465.0
TS19_subset	93.11621398473712	8958088					
TS2	6.902313216763275	4469478	85.72240811060836	51.0	141.89443563855338	9.090909090909092	64468206.0
TS2.concat.R1			87.35423382426097	51.0	151.0	27.27272727272727	64495952.0
TS2.concat.R2			86.00587219973151	51.0	151.0	18.181818181818183	64495952.0
TS20	92.57500488006666	50147271	41.371295293499486	48.0	144.51108321321306	18.181818181818183	46925877.0
TS20.concat.R1			41.793817492681974	48.0	151.0	9.090909090909092	46936523.0
TS20.concat.R2			41.543096699709906	48.0	151.0	27.27272727272727	46936523.0
TS20_subset	92.57345048440338	13534855					
TS21	93.51788788146847	42589765	41.99082532601999	48.0	144.5146672548679	9.090909090909092	38988925.0
TS21.concat.R1			42.1456917793642	49.0	151.0	18.181818181818183	38997644.0
TS21.concat.R2			42.21769658334279	49.0	151.0	27.27272727272727	38997644.0
TS21_subset	93.51485104503745	34922474					
TS22	91.7249242993671	59674925	45.204623260173605	49.0	142.91540677534238	18.181818181818183	56024475.0
TS22.concat.R1			45.02242701641427	49.0	151.0	9.090909090909092	56051821.0
TS22.concat.R2			45.44523412374977	49.0	151.0	27.27272727272727	56051821.0
TS22_subset	91.73824270973304	10739808					
TS23	93.14121991775039	48507721	42.51091972236555	48.0	144.45258934006435	9.090909090909092	45153706.0
TS23.concat.R1			42.62518483120419	48.0	151.0	18.181818181818183	45165619.0
TS23.concat.R2			43.045531263291196	48.0	151.0	27.27272727272727	45165619.0
TS23_subset	93.14798867206076	20865985					
TS24	92.64984793918501	59192675	45.015473645769774	48.0	143.77027917495593	9.090909090909092	55304925.0
TS24.concat.R1			45.14410324468137	48.0	151.0	18.181818181818183	55320175.0
TS24.concat.R2			45.293272927152	49.0	151.0	18.181818181818183	55320175.0
TS24_subset	92.66235945409498	5326263					
TS25	93.14436346988106	38848544	40.908808798560706	48.0	144.80708398745537	9.090909090909092	35861046.0
TS25.concat.R1			41.032064400468904	48.0	151.0	18.181818181818183	35869509.0
TS25.concat.R2			41.020532183275726	49.0	151.0	27.27272727272727	35869509.0
TS25_subset	93.14436346988106	38848544					
TS3	11.714241453535692	5604078	83.03851174034227	50.0	139.95043536046848	9.090909090909092	47210189.0
TS3.concat.R1			84.8299389185134	51.0	151.0	18.181818181818183	47235963.0
TS3.concat.R2			83.41302922474986	51.0	151.0	18.181818181818183	47235963.0
TS4	12.567089344863122	7046040	75.96365243095639	50.0	140.47904658528591	9.090909090909092	55314397.0
TS4.concat.R1			78.38935027266868	51.0	151.0	27.27272727272727	55345517.0
TS4.concat.R2			76.26625513769204	50.0	151.0	18.181818181818183	55345517.0
TS5	13.519100805757244	6797878	70.9812732897787	49.0	134.85312307234256	18.181818181818183	49762472.0
TS5.concat.R1			71.41738988705546	50.0	151.0	18.181818181818183	49787604.0
TS5.concat.R2			70.5206080109757	49.0	151.0	27.27272727272727	49787604.0
TS6	28.01065845419605	9784023	36.42644975825829	46.0	121.52807379111493	0.0	34041822.0
TS6.concat.R1			37.418870740795874	48.0	151.0	9.090909090909092	34090445.0
TS6.concat.R2			37.17900001332518	47.0	151.0	18.181818181818183	34090445.0
TS7	23.7090673672599	14853133	53.26901948092571	47.0	132.64300438245346	9.090909090909092	61552736.0
TS7.concat.R1			54.294686631340014	48.0	151.0	18.181818181818183	61584833.0
TS7.concat.R2			53.67292527966781	47.0	151.0	18.181818181818183	61584833.0
TS8	61.71959866979736	34985320	40.89181302369229	47.0	134.36820504413424	0.0	51873203.0
TS8.concat.R1			41.42554754452939	48.0	151.0	9.090909090909092	51902738.0
TS8.concat.R2			41.22084147539133	48.0	151.0	9.090909090909092	51902738.0
TS9	19.264273251288973	11925432	51.58177616712625	47.0	132.22734610458429	18.181818181818183	61098896.0
TS9.concat.R1			51.92922354332625	48.0	151.0	27.27272727272727	61119802.0
TS9.concat.R2			51.50771889172942	48.0	151.0	18.181818181818183	61119802.0
